ATIMES:
			VB		C#
1 			0.004		0.000
2 			0.004		0.000
3 			0.078		0.070
4 			0.007		0.002
5 			0.006		0.000
6 			0.005		0.000
7 			0.017		0.008
8 			0.010		0.002
9 			0.000		0.000
10 			0.172		0.169
11 			0.047		0.000
12 			0.516		0.518
13 			0.016		0.006
14 			0.297		0.201
15 			0.000		0.000
16 			0.578		0.047
17 			0.031		0.007
18 			0.000		0.000
19 			0.016		0.035
20 			0.391		0.134
21 			0.078		0.021
22 			0.047		0.015
23 			0.170		0.163
24 			0.016		0.000
25 			2.220		1.158
26 			0.016		0.003
27 			0.094		0.016
28 			0.016		0.000
29 			0.016		0.000
30 			0.828		0.317
31 			0.000		0.002
32 			0.161		0.057
33 			0.000		0.000
34 			0.235		0.210
35 			0.172		0.131
36			0.155		0.136
37 			0.125		0.104
38			0.031 		0.011
39 			0.016		0.014
40			0.031		0.035
41			0.016		0.011
42			0.016		0.000
43			0.594		0.277
44 			0.454		0.481
45 			0.009		0.004
46			0.013		0.037
47			0.095		0.096
48 			0.015		0.019
49 			0.017		0.001
50			0.082		0.076
